Date,Symbol,Type,Entry Price,Exit Price,Entry Time,Exit Time,Exit Reason,PnL,Trade Count
2024-02-07,APOLLOHOSP,SELL,6206.15,6223.3,2024-02-07 09:25:00,2024-02-07 09:35:00,Stop Loss,-17.15,12
2024-02-08,APOLLOHOSP,SELL,6156.4,6175.15,2024-02-08 09:45:00,2024-02-08 10:00:00,Stop Loss,-18.75,23
2024-02-08,APOLLOHOSP,BUY,6334.85,6245.7,2024-02-08 14:40:00,2024-02-08 14:45:00,Stop Loss,-89.15,36
2024-02-09,APOLLOHOSP,BUY,6302.85,6245.35,2024-02-09 09:40:00,2024-02-09 10:00:00,Stop Loss,-57.5,18
2024-02-12,APOLLOHOSP,BUY,6504.8,6555.2,2024-02-12 09:35:00,2024-02-12 09:50:00,Target Hit,50.4,11
2024-02-13,APOLLOHOSP,BUY,6648.75,6682.4,2024-02-13 09:20:00,2024-02-13 09:40:00,Target Hit,33.65,2
2024-02-15,APOLLOHOSP,SELL,6726.1,6684.35,2024-02-15 09:20:00,2024-02-15 10:00:00,Target Hit,41.75,2
2024-02-16,APOLLOHOSP,SELL,6561.6,6579.1,2024-02-16 09:30:00,2024-02-16 12:25:00,Stop Loss,-17.5,12
2024-02-19,APOLLOHOSP,SELL,6564.65,6524.0,2024-02-19 09:25:00,2024-02-19 09:50:00,Target Hit,40.65,11
2024-02-19,APOLLOHOSP,BUY,6620.05,6603.35,2024-02-19 11:10:00,2024-02-19 11:35:00,Stop Loss,-16.7,28
2024-02-20,APOLLOHOSP,BUY,6724.95,6703.5,2024-02-20 09:30:00,2024-02-20 09:50:00,Stop Loss,-21.45,14
2024-02-21,APOLLOHOSP,BUY,6794.8,6776.2,2024-02-21 10:15:00,2024-02-21 10:25:00,Stop Loss,-18.6,25
2024-02-22,APOLLOHOSP,BUY,6841.05,6817.0,2024-02-22 09:20:00,2024-02-22 09:35:00,Stop Loss,-24.05,3
2024-02-22,APOLLOHOSP,SELL,6740.0,6763.45,2024-02-22 10:00:00,2024-02-22 11:10:00,Stop Loss,-23.45,23
2024-02-23,APOLLOHOSP,BUY,6784.2,6763.85,2024-02-23 10:05:00,2024-02-23 10:25:00,Stop Loss,-20.35,21
2024-02-23,APOLLOHOSP,SELL,6730.1,6750.7,2024-02-23 10:40:00,2024-02-23 10:50:00,Stop Loss,-20.6,26
2024-02-26,APOLLOHOSP,SELL,6747.1,6704.15,2024-02-26 09:45:00,2024-02-26 10:35:00,Target Hit,42.95,13
2024-02-27,APOLLOHOSP,BUY,6620.0,6655.25,2024-02-27 09:30:00,2024-02-27 12:30:00,Target Hit,35.25,12
2024-02-28,APOLLOHOSP,SELL,6507.0,6464.65,2024-02-28 10:05:00,2024-02-28 10:50:00,Target Hit,42.35,22
2024-02-29,APOLLOHOSP,SELL,6276.0,6230.5,2024-02-29 10:00:00,2024-02-29 10:20:00,Target Hit,45.5,20
2024-03-04,APOLLOHOSP,SELL,6101.05,6070.0,2024-03-04 09:20:00,2024-03-04 09:25:00,Target Hit,31.05,2
2024-03-05,APOLLOHOSP,BUY,6100.0,6067.35,2024-03-05 09:20:00,2024-03-05 09:25:00,Stop Loss,-32.65,4
2024-03-05,APOLLOHOSP,SELL,6000.5,6022.0,2024-03-05 12:10:00,2024-03-05 13:30:00,Stop Loss,-21.5,35
2024-03-06,APOLLOHOSP,BUY,6028.2,6010.55,2024-03-06 10:10:00,2024-03-06 11:35:00,Stop Loss,-17.65,30
2024-03-07,APOLLOHOSP,BUY,6126.8,6105.35,2024-03-07 10:00:00,2024-03-07 10:10:00,Stop Loss,-21.45,19
2024-03-07,APOLLOHOSP,SELL,6060.05,6076.0,2024-03-07 12:05:00,2024-03-07 12:30:00,Stop Loss,-15.95,29
